time,N_sat,L1,L2,P1,P2,C1
0.242,G13,106779913.998,83205140.689,0,20319534.504,20319535.950
0.242,G15,110965640.335,86466735.954,0,21116056.226,21116057.410
0.242,G17,123786520.404,96457025.528,0,23555787.608,23555788.269
0.242,G18,127250048.307,99155878.443,0,24214876.756,24214878.545
0.242,G20,121475107.931,94655902.855,0,23115943.687,23115944.834
0.242,G24,124916193.700,97337300.432,0,23770762.264,23770760.798
0.242,G28,111548871.589,86921202.602,0,21227037.113,21227039.226
0.242,G30,118885847.786,92638336.940,0,22623218.076,22623217.239
0.250,G13,106801169.126,83221703.135,0,20323579.231,20323580.655
0.250,G15,110931198.592,86439898.237,0,21109502.204,21109503.341
0.250,G17,123698003.624,96388051.438,0,23538943.293,23538944.038
0.250,G18,127207916.815,99123048.737,0,24206859.346,24206860.802
0.250,G20,121549589.188,94713940.187,0,23130117.294,23130118.307
0.250,G24,124816023.244,97259245.580,0,23751700.281,23751698.785
0.250,G28,111591176.621,86954167.567,0,21235087.601,21235089.588
0.250,G30,118974230.174,92707206.320,0,22640036.682,22640035.771
0.258,G13,106822986.190,83238703.456,0,20327730.898,20327732.298
0.258,G15,110897294.525,86413479.484,0,21103050.406,21103051.582
0.258,G17,123609758.639,96319289.162,0,23522151.294,23522151.564
0.258,G18,127166239.459,99090572.860,0,24198928.222,24198930.019
0.258,G20,121624451.770,94772274.643,0,23144363.011,23144364.123
0.258,G24,124715975.679,97181286.458,0,23732661.951,23732660.527
0.258,G28,111633899.784,86987458.340,0,21243217.486,21243219.453
0.258,G30,119062809.484,92776229.169,0,22656892.981,22656891.948
0.267,G13,106845366.315,83256142.517,0,20331989.633,20331991.094
0.267,G15,110863930.495,86387481.534,0,21096701.456,21096702.612
0.267,G17,123521789.330,96250741.677,0,23505411.107,23505411.567
0.267,G18,127125019.259,99058453.227,0,24191084.272,24191086.314
0.267,G20,121699693.656,94830904.675,0,23158680.614,23158682.225
